"module name","license","repository"
"@babel/code-frame@7.10.4","MIT","https://github.com/babel/babel"
"@babel/helper-validator-identifier@7.10.4","MIT","https://github.com/babel/babel"
"@babel/highlight@7.10.4","MIT","https://github.com/babel/babel"
"@nodelib/fs.scandir@2.1.3","MIT","https://github.com/nodelib/nodelib/tree/master/packages/fs/fs.scandir"
"@nodelib/fs.stat@2.0.3","MIT","https://github.com/nodelib/nodelib/tree/master/packages/fs/fs.stat"
"@nodelib/fs.walk@1.2.4","MIT","https://github.com/nodelib/nodelib/tree/master/packages/fs/fs.walk"
"@oopsunome/fast-gitignore@1.1.1","MIT","https://github.com/iTonyYo/fast-gitignore"
"@sindresorhus/is@0.14.0","MIT","https://github.com/sindresorhus/is"
"@szmarczak/http-timer@1.1.2","MIT","https://github.com/szmarczak/http-timer"
"@types/color-name@1.1.1","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/minimist@1.2.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/normalize-package-data@2.4.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/parse-json@4.0.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"aggregate-error@3.1.0","MIT","https://github.com/sindresorhus/aggregate-error"
"ansi-align@3.0.0","ISC","https://github.com/nexdrew/ansi-align"
"ansi-regex@4.1.0","MIT","https://github.com/chalk/ansi-regex"
"ansi-regex@5.0.0","MIT","https://github.com/chalk/ansi-regex"
"ansi-styles@3.2.1","MIT","https://github.com/chalk/ansi-styles"
"ansi-styles@4.2.1","MIT","https://github.com/chalk/ansi-styles"
"arrify@1.0.1","MIT","https://github.com/sindresorhus/arrify"
"boxen@4.2.0","MIT","https://github.com/sindresorhus/boxen"
"braces@3.0.2","MIT","https://github.com/micromatch/braces"
"cacheable-request@6.1.0","MIT","https://github.com/lukechilds/cacheable-request"
"callsites@3.1.0","MIT","https://github.com/sindresorhus/callsites"
"camelcase-keys@6.2.2","MIT","https://github.com/sindresorhus/camelcase-keys"
"camelcase@5.3.1","MIT","https://github.com/sindresorhus/camelcase"
"chalk@2.4.2","MIT","https://github.com/chalk/chalk"
"chalk@3.0.0","MIT","https://github.com/chalk/chalk"
"chalk@4.1.0","MIT","https://github.com/chalk/chalk"
"ci-info@2.0.0","MIT","https://github.com/watson/ci-info"
"clean-stack@2.2.0","MIT","https://github.com/sindresorhus/clean-stack"
"cli-boxes@2.2.1","MIT","https://github.com/sindresorhus/cli-boxes"
"clone-response@1.0.2","MIT","https://github.com/lukechilds/clone-response"
"color-convert@1.9.3","MIT","https://github.com/Qix-/color-convert"
"color-convert@2.0.1","MIT","https://github.com/Qix-/color-convert"
